아니 이번 시즌은 쇼미더머니가 아니라 케이팝 탄생 더 머니 아님?ㅋㅋ..     ㅇㅇ(119.203) 
송민호 랩 많이 늘었네     ㅇㅇ(14.35) 
승민호잘하농..     138KM 
진짜 팩트 : 아이돌 노래도 이거보단 랩 많이한다.     ㅇㅇ(121.157) 
이번 주 노래 자체는 다 별로다     ㅇㅇ(39.7) 
===11/20 00:51:00===
YOU<<본선 씹어먹으면 개추 ㅋㅋ     ㅇㅇ(218.153) 
피쳐링 이무진 입갤ㅋㅋㅋㅋ     ㅇㅇ(125.130) 
음원은 베이식이 1등할듯     ㅇㅇ(58.238) 
ㅂㅈ들 진짜 인기투표해라 이럴거면 ㅋㅋ     ㅇㅇ 
송민호 간지나노ㅋㅋㅋㅋㅋ     A$APLUKE 
마이노 제거버전 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.36) 
송민호가 찐이네 ㅋㅋ     ㅇㅇ(211.54) 
쇼미10은 토일미만잡이네 ㅋㅋㅋㅋㅋ 그레이 퇴물인증     ㅁㅁ(211.246) 
8에서 노래만 한다고 까였던 짱유도     ㅇㅇ(61.84) 
와 쿤타 진짜 답도 없이 발렸네 어떡하냐 ㅋㅋ     ㅇㅇ(125.138) 
아이돌이 가장 랩 잘하네     ㅇㄴ(1.241) 
